monthDay,selectedDate,selectedAF,selectedStatus,comparisonDate,comparisonAF,comparisonStatus,baselineMeanAF,baselineCount
03-23,2025-03-23,3930028,reported,2021-03-23,2369650,reported,3516149.1,30
03-24,2025-03-24,3932740,reported,2021-03-24,2372925,reported,3533266.7666666666,30
03-25,2025-03-25,3938434,reported,2021-03-25,2376778,reported,3549137.8620689656,29
03-26,2025-03-26,3946839,reported,2021-03-26,2380263,reported,3559685.620689655,29
03-27,2025-03-27,3964791,reported,2021-03-27,2382975,reported,3566377.5,30
03-28,2025-03-28,3992913,reported,2021-03-28,2385493,reported,3576063.5,30
03-29,2025-03-29,4014570,reported,2021-03-29,2390143,reported,3585044.9,30
03-30,2025-03-30,4039066,reported,2021-03-30,2389562,reported,3594415.6333333333,30
03-31,2025-03-31,4067273,reported,2021-03-31,2391693,reported,3603812.2333333334,30
04-01,2025-04-01,4097012,reported,2021-04-01,2391499,reported,3613454.066666667,30
04-02,2025-04-02,4123258,reported,2021-04-02,2394986,reported,3622654.3666666667,30
04-03,2025-04-03,4146802,reported,2021-04-03,2396342,reported,3631550.1,30
04-04,2025-04-04,4169892,reported,2021-04-04,2394018,reported,3640529.6,30
04-05,2025-04-05,4191371,reported,2021-04-05,2393049,reported,3648717.466666667,30
04-06,2025-04-06,4209224,reported,2021-04-06,2394211,reported,3658904.3,30
04-07,2025-04-07,4226850,reported,2021-04-07,2393824,reported,3671872.7333333334,30
04-08,2025-04-08,4255669,reported,2021-04-08,2394405,reported,3683896.9,30
04-09,2025-04-09,4269995,reported,2021-04-09,2393436,reported,3694208.6666666665,30
04-10,2025-04-10,4285204,reported,2021-04-10,2394792,reported,3702098.4,30
04-11,2025-04-11,4299888,reported,2021-04-11,2390724,reported,3710647.1333333333,30
04-12,2025-04-12,4319207,reported,2021-04-12,2390918,reported,3721777.7666666666,30
04-13,2025-04-13,4334555,reported,2021-04-13,2386850,reported,3731109.7,30
04-14,2025-04-14,4347006,reported,2021-04-14,2382781,reported,3739191,30
04-15,2025-04-15,4357425,reported,2021-04-15,2380069,reported,3746935.8333333335,30
04-16,2025-04-16,4365818,reported,2021-04-16,2375237,reported,3754655.566666667,30
04-17,2025-04-17,4367555,reported,2021-04-17,2371769,reported,3763368.2333333334,30
04-18,2025-04-18,4368133,reported,2021-04-18,2364642,reported,3771257.6,30
04-19,2025-04-19,4369002,reported,2021-04-19,2359248,reported,3778045.6,30
04-20,2025-04-20,4369580,reported,2021-04-20,2352537,reported,3785410.6666666665,30
04-21,2025-04-21,4372764,reported,2021-04-21,2348707,reported,3792562.7,30
04-22,2025-04-22,4376530,reported,2021-04-22,2340471,reported,3799301.4,30
04-23,2025-04-23,4384088,reported,2021-04-23,2334176,reported,3805450.7333333334,30
04-24,2025-04-24,4387867,reported,2021-04-24,2328271,reported,3811068.6333333333,30
04-25,2025-04-25,4391356,reported,2021-04-25,2320843,reported,3816396.433333333,30
04-26,2025-04-26,4394263,reported,2021-04-26,2316670,reported,3820608.933333333,30
04-27,2025-04-27,4401530,reported,2021-04-27,2310801,reported,3802294.4827586208,29
04-28,2025-04-28,4405312,reported,2021-04-28,2301712,reported,3829746.8333333335,30
04-29,2025-04-29,4399495,reported,2021-04-29,2295493,reported,3834360.966666667,30
04-30,2025-04-30,4396007,reported,2021-04-30,2288150,reported,3837998.3,30
05-01,2025-05-01,4387867,reported,2021-05-01,2282689,reported,3841808.4,30
05-02,2025-05-02,4384379,reported,2021-05-02,2277256,reported,3844728.2666666666,30
05-03,2025-05-03,4381763,reported,2021-05-03,2270516,reported,3847666.4,30
05-04,2025-05-04,4379437,reported,2021-05-04,2260050,reported,3850121.3666666667,30
05-05,2025-05-05,4376239,reported,2021-05-05,2252604,reported,3852761.2,30
05-06,2025-05-06,4379146,reported,2021-05-06,2243305,reported,3854692.9,30
05-07,2025-05-07,4379146,reported,2021-05-07,2232756,reported,3855724.433333333,30
05-08,2025-05-08,4378565,reported,2021-05-08,2223701,reported,3856536,30
05-09,2025-05-09,4367265,reported,2021-05-09,2212292,reported,3858607.1333333333,30
05-10,2025-05-10,4358293,reported,2021-05-10,2203668,reported,3871852.896551724,29
05-11,2025-05-11,4345559,reported,2021-05-11,2190131,reported,3859838.7333333334,30
05-12,2025-05-12,4331369,reported,2021-05-12,2179213,reported,3858961.7333333334,30
05-13,2025-05-13,4321524,reported,2021-05-13,2167413,reported,3857642.8,30
05-14,2025-05-14,4319786,reported,2021-05-14,2157829,reported,3856116.033333333,30
05-15,2025-05-15,4316318,reported,2021-05-15,2143779,reported,3854492,30
05-16,2025-05-16,4310841,reported,2021-05-16,2131576,reported,3855441.566666667,30
05-17,2025-05-17,4304788,reported,2021-05-17,2119780,reported,3855178.1,30
05-18,2025-05-18,4300176,reported,2021-05-18,2107861,reported,3856810.8,30
05-19,2025-05-19,4295276,reported,2021-05-19,2095270,reported,3857352.3666666667,30
05-20,2025-05-20,4278890,reported,2021-05-20,2082375,reported,3856340.1666666665,30
05-21,2025-05-21,4262821,reported,2021-05-21,2069026,reported,3854469.4,30
05-22,2025-05-22,4247959,reported,2021-05-22,2059048,reported,3833023.0344827585,29
05-23,2025-05-23,4230546,reported,2021-05-23,2047353,reported,3848634.8666666667,30
05-24,2025-05-24,4216900,reported,2021-05-24,2037582,reported,3845175.966666667,30
05-25,2025-05-25,4205244,reported,2021-05-25,2031649,reported,3842013.066666667,30
05-26,2025-05-26,4195049,reported,2021-05-26,2020015,reported,3838600.6333333333,30
05-27,2025-05-27,4185995,reported,2021-05-27,2011003,reported,3834603.2666666666,30
05-28,2025-05-28,4176942,reported,2021-05-28,1999451,reported,3829960.3333333335,30
05-29,2025-05-29,4168766,reported,2021-05-29,1994453,reported,3804639.4482758623,29
05-30,2025-05-30,4160037,reported,2021-05-30,1983486,reported,3820037.1,30
05-31,2025-05-31,4151026,reported,2021-05-31,1976296,reported,3791283.206896552,29
06-01,2025-06-01,4142878,reported,2021-06-01,1971357,reported,3810663.3333333335,30
06-02,2025-06-02,4136431,reported,2021-06-02,1967269,reported,3805088.2666666666,30
06-03,2025-06-03,4129704,reported,2021-06-03,1960627,reported,3798956.2333333334,30
06-04,2025-06-04,4122136,reported,2021-06-04,1950807,reported,3792559.466666667,30
06-05,2025-06-05,4114309,reported,2021-06-05,1940330,reported,3785091.566666667,30
06-06,2025-06-06,4109566,reported,2021-06-06,1930738,reported,3777499.6666666665,30
06-07,2025-06-07,4103708,reported,2021-06-07,1922016,reported,3769529.7666666666,30
06-08,2025-06-08,4095896,reported,2021-06-08,1914657,reported,3761702.5,30
06-09,2025-06-09,4087264,reported,2021-06-09,1907149,reported,3753993.033333333,30
06-10,2025-06-10,4079212,reported,2021-06-10,1901330,reported,3746197.533333333,30
06-11,2025-06-11,4070605,reported,2021-06-11,1894181,reported,3738781.6333333333,30
06-12,2025-06-12,4061726,reported,2021-06-12,1887073,reported,3730824.7,30
06-13,2025-06-13,4047909,reported,2021-06-13,1880465,reported,3722626.1333333333,30
06-14,2025-06-14,4039066,reported,2021-06-14,1876175,reported,3713583.7,30
06-15,2025-06-15,4030247,reported,2021-06-15,1868784,reported,3704695.1,30
06-16,2025-06-16,4017870,reported,2021-06-16,1862049,reported,3695171.533333333,30
06-17,2025-06-17,4002220,reported,2021-06-17,1854368,reported,3685510.2333333334,30
06-18,2025-06-18,3984153,reported,2021-06-18,1845389,reported,3676055.466666667,30
06-19,2025-06-19,3969695,reported,2021-06-19,1839056,reported,3666169.5,30
06-20,2025-06-20,3953892,reported,2021-06-20,1835488,reported,3656238.566666667,30
06-21,2025-06-21,3937349,reported,2021-06-21,1831757,reported,3645159.6666666665,30
06-22,2025-06-22,3917867,reported,2021-06-22,1825770,reported,3633555.1,30
06-23,2025-06-23,3901946,reported,2021-06-23,1814162,reported,3621964.8,30
06-24,2025-06-24,3886893,reported,2021-06-24,1802452,reported,3610049.8,30
06-25,2025-06-25,3870252,reported,2021-06-25,1790788,reported,3598596.6666666665,30
06-26,2025-06-26,3849405,reported,2021-06-26,1781075,reported,3587361.5,30
06-27,2025-06-27,3832894,reported,2021-06-27,1767776,reported,3575716.7333333334,30
06-28,2025-06-28,3817472,reported,2021-06-28,1761621,reported,3563755.7,30
06-29,2025-06-29,3802384,reported,2021-06-29,1752185,reported,3551994.8666666667,30
06-30,2025-06-30,3788087,reported,2021-06-30,1745911,reported,3539816.3666666667,30
